% # columns="iteration, evaluation, void, void, void, xmean", seed=241947, Sat Nov 26 20:14:25 2016 # scaling_of_variables: 2.1 2.1 2.1 2.1 2.1 2.1, typical_x: 0
0 0 0 0 0 0.714285714286 0.47619047619 0.952380952381 0.0 0.714285714286 -0.47619047619
1 10 0 0.0 nan 0.986062205909 0.547660063455 0.524958350286 -0.0548933320103 -0.601705451458 -0.771829191534
2 19 0 0.0 nan 0.954979836445 0.771865513635 -0.0346529080131 -0.202007973307 -0.679893230603 -1.09677632105
3 28 0 0.0 nan 0.334185676271 0.791383445415 0.151399578549 -0.542444705488 0.0552072455982 -0.615306385722
4 37 0 0.0 nan -0.0218021615987 0.814019587 -0.737664553628 -0.774996712979 1.31326672256 -1.12382276564
5 46 0 0.0 nan 0.240908904674 1.29224706799 -0.42931811276 -0.348244230219 0.758970324065 -0.765023294991
6 55 0 0.0 nan -0.136565101013 0.671661102912 0.149196158452 0.347406782215 0.717603797913 -0.492032023295
7 64 0 0.0 nan -0.0982709640363 0.697875897575 0.137451591744 -0.196866644499 0.0359430721571 -0.217001568486
8 73 0 0.0 nan 0.712788530413 0.781804611769 -0.0947676225795 -0.243213080456 -0.248997959894 -0.295676917963
9 82 0 0.0 nan 0.784217547655 0.357786191757 -0.340402057428 -0.0254221975786 -0.193884971598 -0.124183478679
10 91 0 0.0 nan 0.797363001671 0.642621961229 -0.332778272997 -0.697702354106 0.544108182584 -0.232107784787
11 100 0 0.0 nan 0.638535505593 0.920252962405 -0.670313941792 -0.628963918869 1.18949758029 -0.150793499441
12 109 0 0.0 nan 1.33779382124 1.41089490589 -1.24318443715 -0.506828128639 0.819669248206 -0.179048304721
13 118 0 0.0 nan 1.33735085803 0.7697315107 -0.651040376615 -0.0790632330465 0.601444492153 0.512247600423
14 127 0 0.0 nan 1.27283387859 1.13860146778 -0.752402489434 0.342562685464 -0.0680044922184 0.414757854287
15 136 0 0.0 nan 0.981382932986 1.05918657472 -0.774541367115 0.603350058651 0.364859953702 0.494123109213
16 145 0 0.0 nan 0.530763880039 1.37729161182 -0.264112470815 0.489726224998 0.3599982762 0.577436835602
17 154 0 0.0 nan 0.787971963032 1.1171245983 -0.28224868297 0.532242592826 0.329694304296 0.321211901536
18 163 0 0.0 nan 0.868077104145 0.827359096089 -0.451536224289 0.33903394641 0.645522731441 0.0389218208339
19 172 0 0.0 nan 0.540054264525 0.77419451198 -0.360048313065 0.273547047066 0.977545454351 0.234985840988
20 181 0 0.0 nan 0.468442119312 0.705794014755 -0.287561585851 0.545049857818 0.953869751085 0.355745501961
21 190 0 0.0 nan 0.314864409482 0.628192825517 -0.46267464883 0.71399994649 1.45573410947 0.367608256496
22 199 0 0.0 nan 0.119019233279 0.701850899943 -0.101597137951 0.682575688887 1.03141308605 0.198829067507
23 208 0 0.0 nan 0.302225524587 0.792314252941 0.0488390469904 0.788359758771 1.06999597537 0.234760923669
