%  columns="iteration, evaluation, sigma, max axis length,  min axis length, all principle axes lengths  (sorted square roots of eigenvalues of C)", seed=318474, Sun Nov 27 02:50:23 2016
0 1 1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1 11 0.963699209636 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2 21 0.921859158547 1.1080642455 0.97114727111 0.97114727111 0.971147303812 0.97114743643 0.971712053281 0.973523379214 0.981650199034 1.00771008869 1.1080642455
3 31 0.824908097492 1.11721803415 0.943190531918 0.943190531918 0.945624979094 0.948751732338 0.952952896389 0.953748640739 0.988444902606 1.01685541445 1.11721803415
4 41 0.727310249352 1.10878230325 0.917026036794 0.917026036794 0.923550601663 0.92906241788 0.941746559786 0.943222716251 0.9718364266 0.999029798069 1.10878230325
5 51 0.677782057512 1.09991375166 0.893086730495 0.893086730495 0.900291773506 0.913154301968 0.921726351051 0.92512245305 0.959054900812 0.972272872996 1.09991375166
6 61 0.699118121719 1.09150703571 0.870821950155 0.870821950155 0.877776308476 0.897541910875 0.910295715783 0.915477277967 0.960598194147 0.984666771339 1.09150703571
7 71 0.625481761507 1.15702822416 0.849162403322 0.849162403322 0.864168373912 0.885442992098 0.902412340749 0.910873313344 0.956061641831 0.986203384389 1.15702822416
8 81 0.652487363923 1.1509515456 0.833132919974 0.833132919974 0.853226370089 0.873180671669 0.881981619488 0.890640231576 0.933892212597 0.963255169737 1.1509515456
9 91 0.608541620581 1.17104498331 0.815389181652 0.815389181652 0.836273810951 0.849924960148 0.864634017603 0.900538888717 0.919221357925 1.02199623822 1.17104498331
10 101 0.662681997554 1.17987839047 0.796627251671 0.796627251671 0.817578764165 0.834874504246 0.860400435819 0.904355738761 0.960645976732 1.01190633765 1.17987839047
11 111 0.67083055254 1.17283099783 0.777509812169 0.777509812169 0.8110185933 0.82668453366 0.870844819451 0.935421765585 0.984591796253 1.05699316313 1.17283099783
12 121 0.682782618005 1.157540066 0.769355283654 0.769355283654 0.813234166789 0.819571212161 0.865203304222 0.939390369809 0.986585289004 1.05300975833 1.157540066
13 131 0.650156708064 1.13487977022 0.766097775245 0.766097775245 0.797985091976 0.824393486177 0.88455819202 0.917367785887 0.993155690176 1.10378593733 1.13487977022
14 141 0.603912286686 1.1346007784 0.758564569074 0.758564569074 0.7828968678 0.812822802503 0.874031311144 0.906154711373 1.00683415071 1.11836356679 1.1346007784
15 151 0.518383139439 1.15515078188 0.746115324764 0.746115324764 0.763985329978 0.805456332768 0.853731096579 0.906883174067 0.988078431194 1.11276583176 1.15515078188
16 161 0.545936215099 1.14405122143 0.728462477438 0.728462477438 0.748606143801 0.80987498459 0.83871905741 0.888495021796 0.962256554466 1.11171813494 1.14405122143
17 171 0.51075855435 1.21319720163 0.732354911301 0.732354911301 0.746472144868 0.790716122895 0.860604475578 0.893287689662 0.942857293612 1.09113408647 1.21319720163
18 181 0.468718925527 1.21743524102 0.728021399343 0.728021399343 0.756870486577 0.786461318847 0.842963783064 0.886627562096 0.932249111207 1.06773128358 1.21743524102
19 191 0.445474492282 1.20922765246 0.714348040928 0.714348040928 0.741039233914 0.774411910652 0.823870870278 0.8778620269 0.933025978435 1.06098865044 1.20922765246
20 201 0.473386267215 1.18911339998 0.703318808435 0.703318808435 0.728792945454 0.760177820467 0.819888443004 0.877445408746 0.941865029442 1.07772742203 1.18911339998
