% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=318474, Sun Nov 27 02:50:23 2016
1 11 0.963699209636 1.0 -0.93211896063 -8.5761522539770640e-01 -0.708992657211 -0.594187239892 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
2 21 0.921859158547 1.14098476972 -1.09441923565 -1.0944192356525715e+00 -0.77221819395 -0.619770771913 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3 31 0.824908097492 1.18450938208 -1.09441923565 -7.4413227260630188e-01 -0.554891197225 0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
4 41 0.727310249352 1.20910667611 -1.09441923565 -7.1521493867074037e-01 -0.78202160445 -0.673896981203 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5 51 0.677782057512 1.23158671392 -1.09441923565 -8.0126344949010475e-01 -0.640583047814 -0.60264558056 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
6 61 0.699118121719 1.25342159269 -1.09441923565 -9.4382698731177039e-01 -0.650706201237 -0.68497765748 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
7 71 0.625481761507 1.36255234527 -1.09441923565 -6.6983574166747206e-01 -0.597177478446 -0.555896091614 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
8 81 0.652487363923 1.38147409375 -1.09441923565 -9.6086432492351859e-01 -0.419612467964 -0.666233712588 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
9 91 0.608541620581 1.43617920088 -1.09441923565 -7.4594039154235392e-01 -0.52943112747 0.0 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
10 101 0.662681997554 1.48109217705 -1.09441923565 -7.4682150889425525e-01 -0.562282508678 -0.483664522736 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
11 111 0.67083055254 1.50844526908 -1.09441923565 -7.8752205660890540e-01 -0.533381935051 0.0 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
12 121 0.682782618005 1.50455854478 -1.09441923565 -7.2097597942343872e-01 -0.626723472063 0.0 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
13 131 0.650156708064 1.48137719086 -1.09441923565 -8.3353040419034363e-01 -0.647597464768 -0.744537332107 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
14 141 0.603912286686 1.49572076612 -1.09441923565 -9.4488419537149992e-01 -0.644229183272 -0.63373848768 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
15 151 0.518383139439 1.54822015249 -1.09441923565 -7.9591381049266607e-01 -0.623199584606 -0.583447373056 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
16 161 0.545936215099 1.57050123632 -1.09441923565 -7.3263473370395060e-01 -0.541354351038 0.0 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
17 171 0.51075855435 1.6565700358 -1.09441923565 -8.3828440753684352e-01 -0.542038272308 -0.554164490452 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
18 181 0.468718925527 1.6722519999 -1.09441923565 -8.0125262531913100e-01 -0.688468375294 -0.45663333758 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
19 191 0.445474492282 1.69277100682 -1.09441923565 -1.0334522270416411e+00 -0.593264088489 -0.498848582011 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
20 201 0.473386267215 1.69071747509 -1.09441923565 -8.7765548234996882e-01 -0.787030214836 0.0 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742 0.580653376742
