% # columns="iteration, evaluation, void, void, void, xmean", seed=262772, Sat Nov 26 18:18:49 2016 # scaling_of_variables: 2.1 2.1 2.1 2.1, typical_x: 0
0 0 0 0 0 -0.714285714286 0.0 0.714285714286 0.47619047619
1 9 0 0.0 nan -0.2452798675 0.727146350126 1.23131119138 1.22612721413
2 17 0 0.0 nan -0.244102266268 0.430717637933 1.0507992721 1.72607125581
3 25 0 0.0 nan -0.476075084436 0.269068074981 0.479853233316 0.792457882256
4 33 0 0.0 nan 0.270000664242 0.714605931308 1.21962407389 1.34862415514
5 41 0 0.0 nan -0.01033645666 0.448089611519 1.75239328648 0.264567887523
6 49 0 0.0 nan -0.175685663734 0.228337516352 1.40460863392 -0.497680011367
7 57 0 0.0 nan -0.110461175448 -0.635847036043 1.09494612667 -0.000815337641061
8 65 0 0.0 nan -0.927741968591 -0.679420334525 0.994988758189 -0.682140056641
9 73 0 0.0 nan -1.33299459328 -0.378333591096 0.900807069848 -0.0113538873707
10 81 0 0.0 nan -0.891973798906 0.353238626258 1.15967947986 -0.481120940313
11 89 0 0.0 nan -0.722453409106 1.09180274456 1.53433847098 -0.222148294919
12 97 0 0.0 nan -0.398146680605 0.579026265231 1.27307730941 0.201145165814
13 105 0 0.0 nan -0.478875306609 0.101467611045 1.42526352136 -0.438746842772
14 113 0 0.0 nan -0.605976268107 0.545960728704 2.12001159716 -0.632768446379
15 121 0 0.0 nan -0.629985058996 0.728926108892 2.18057745607 -0.621604465265
16 129 0 0.0 nan -0.929718014971 0.440096485911 1.74779775238 -0.533378778499
17 137 0 0.0 nan -0.424573898992 0.300059232054 1.8359819952 -0.229776419215
18 145 0 0.0 nan -0.295927815949 -0.162085414405 1.78035415554 -0.085429608437
19 153 0 0.0 nan -0.379281195137 -0.524921274006 1.35808516021 0.165124480079
20 161 0 0.0 nan -0.462117573979 -0.369127339758 1.5598988674 -0.155810749707
21 169 0 0.0 nan -0.689934066992 -0.408495590222 1.36699272143 -0.105016574169
22 177 0 0.0 nan -0.294235075294 -0.452462140682 1.29755296869 0.226465835768
23 185 0 0.0 nan -0.237443907527 -0.763808077083 1.24825906687 0.471464918759
24 193 0 0.0 nan -0.175116918223 -0.94404920568 1.1874075677 0.469773359366
25 201 0 0.0 nan -0.195474353052 -0.71713129638 1.17654636127 0.299361635792
