% # iter+eval+sigma+0+fitness+xbest, seed=416095, Sun Nov 27 10:40:47 2016
1 12 0.93441577233 0 -0.815986869715 0.734240286228 0.1 0.385460970154 1.0 653.025168692 1923.06283287 6515.14443018 0.01 28.0207129286 0.01 5.38427168388 3.49156782243
2 23 0.86640138079 0 -0.396399508186 0.9309777504 0.1 0.233445562767 1.0 1403.11587747 2030.22696656 2539.85877515 0.01 26.2848131295 0.279209958469 5.08150972312 3.7227270507
3 34 0.794786858324 0 -0.356178054859 2.0 0.12848720605 0.26493229726 3.46856796241 4909.05266781 3978.03906713 1000.0 0.01 36.455011483 0.449839763442 15.7499040694 3.67145320472
4 45 0.761174729137 0 -1.12987249679 0.953435397031 0.1 0.714620543547 1.0 2825.5742424 3896.37284961 3182.23593287 0.01 46.0437502694 0.01 4.46124634523 3.80846650678
5 56 0.771348658486 0 -0.988764274219 1.7515114272 0.1 0.270051577539 1.0 3484.36844702 3805.54409747 3137.94367357 0.01 56.153214917 0.0970562501326 31.6588983471 4.79285437738
6 67 0.846844971972 0 -0.906766007359 1.15543275976 0.1 0.4663860155 1.0 1920.10068906 4702.71861309 2781.80029863 0.01 1.0 1.39986728267 40.4215356024 5.0
7 78 0.865680388069 0 -1.10862781306 1.08293828893 0.1 0.05 1.53214908187 787.900938708 500.0 3839.79294515 0.01 75.8464009814 0.286023110115 73.987063195 4.88687078397
8 89 0.859823164213 0 -0.875130883619 1.18398969 0.1 0.475871634398 1.64909561118 2028.93793918 2136.30888951 1000.0 0.01 3.62693654575 0.01 84.6927646981 5.0
9 100 0.812018126123 0 -1.55121118011 0.218964823511 0.1 0.0616043787225 1.63447236475 4874.14946597 3292.24362072 5060.44660019 0.60350138776 19.2163220131 0.446497226936 63.9577553993 4.25659364498
10 111 0.733850072686 0 -1.11994451948 1.44678527545 0.1 0.365020397278 1.0 3685.8733198 3761.70536239 4117.73175603 0.203882911303 16.3877403833 3.98914741829 24.7238716173 3.89950228571
11 122 0.694886537722 0 -1.8553446154 0.44231644562 0.1 0.106044056721 1.0 3377.64132252 4220.45162951 2337.23675135 0.262595148245 36.0103702402 3.83356056514 34.8362976719 3.94834045495
12 133 0.656850701378 0 -1.3257331964 0.869531503271 0.1 0.0760496954928 1.0 3469.58369528 3070.91112746 5674.36943074 0.01 25.1588169293 1.0605216104 49.0734873595 5.0
13 144 0.595934303468 0 -1.21149077503 1.11598980991 0.1 0.112636191698 1.28746384591 2230.5641246 3736.40596513 4652.37764832 0.124182265828 37.890287447 2.17321210424 14.5228515112 4.81264599344
14 155 0.557389623578 0 -1.4144916084 1.69060153058 0.1 0.05 1.0 1747.06846735 2596.04079178 5958.39147707 0.01 56.1413455673 3.57853366738 10.1251824439 5.0
15 166 0.528841638644 0 -1.20458055735 1.24634758071 0.1 0.0535818016628 1.0 3564.42202386 2384.88381251 6197.15163819 0.01 17.9404504603 2.57341050741 4.91440580572 5.0
16 177 0.516020742631 0 -1.83841867976 1.07870610264 0.1 0.0594598202322 1.0 1694.61467633 4299.44314213 6823.68706052 0.151612066224 42.9727920955 2.60643554732 29.2677249041 4.34835749267
17 188 0.464346900536 0 -1.36682372574 1.06411894666 0.1 0.182534972343 1.23675223427 2586.50181469 3936.22087486 4774.99586442 0.887989106575 15.3000665538 2.30543834925 21.3123439329 4.43438923863
18 199 0.463918130084 0 -1.42435058032 0.314653034509 0.1 0.05 1.40151771198 1702.33393659 3467.41905325 8266.66685092 0.0894127723478 16.6308843195 2.09332533488 19.6395525099 3.82196341665
19 210 0.484266795194 0 -1.41679653679 0.342396107859 0.1 0.05 1.0 1115.148133 4807.74644203 7611.78853269 0.288875520613 22.5744475408 2.23506176163 4.60144345197 4.02681294131
